StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q13,Q14,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21_1,Q21_2,Q21_3,Q21_4,Q23,Q6,Q7,Q8,Q9,Q10,Q8,Q9,Q22,Q10,Q11,Q12,Q24
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,"Are you a senior (4th year or later) undergraduate majoring in the geosciences (geology, geophysics, Earth and planetary sciences, etc.)?","Geoscience Identity Survey Informed Consent 

We are asking you to be in a research study. Participation is voluntary. The purpose of this form is to give you the information you will need to help you decide whether to participate. Please read the form carefully. You may ask questions about anything that is not clear. When we have answered all of your questions, you can decide if you want to be in the study or not. This process is called “informed consent.”

You are invited to participate in a research project entitled “Race and Geoscience Identity in Undergraduates”. The study is being conducted by Willa Rowan and Dr. Robyn Dahl from Western Washington University and has been approved by the Western Washington University Institutional Review Board (IRB). 

This survey will take 8-10 minutes to complete. Your replies will be anonymous, meaning we will not record identifiers such as your name, contact information, or IP address. Responses will be stored on a password-protected server. Participants may experience emotional discomfort if survey questions relate to negative experiences they have had in their geoscience programs. Participation is completely voluntary and there will be no penalty or loss of benefits if you choose to not participate in this research study or to withdraw.  If you choose not to participate you can leave the survey site.  You may choose to not answer any question by simply leaving it blank. Finishing the survey entitles you to enter a raffle for several $50 Amazon e-gift cards, and your raffle entry will not be linked to your survey responses. If you have any questions about the study you may contact Willa Rowan at rowanw@wwu.edu

If you have any questions concerning your rights as a research participant you may contact the Western Washington University Office of Research and Sponsored Programs (RSP) at compliance@wwu.edu or (360) 650-2146. 
 Selecting “yes” below and completing the on-line survey indicate your consent for use of the answers you supply. By completing this survey you are also confirming that you are 18 years of age or older.

Please print this page for your records.

Do you agree to continue?",Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I identify as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I am comfortable identifying myself as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My field of study helps me identify as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My faculty members recognize me as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My peers recognize me as a geoscientist,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My family and friends recognize me as a geoscientist,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - It is not important to me that others see me as a geoscientist,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - Seeing other people who look like me within my field reinforces my geoscience identity,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - Doing geoscience is not important to who I am,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My knowledge and skills will allow me to help others,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My knowledge and skills will allow me to contribute to social issues that are important to me,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I do not enjoy conducting research,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I have to work harder than my peers to be recognized as a geoscientist due to my race or ethnicity,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I have to work harder than my peers to be recognized as a geoscientist due to my gender,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I am confident that I can understand geoscience in class,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I am confident that I can understand geoscience outside of class,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I can do well on exams and projects in geoscience,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I do not understand concepts I have studied in geoscience,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - Others ask me for help in geoscience,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I cannot overcome setbacks in geoscience,"If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Faculty mentors and/or role models","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Learning how to use tools, equipment, and other material resources","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Research projects in class","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Research experience outside of regular classes","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Place-based geoscience courses (learning in and about a particular place)","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Coursework incorporating cultural relevance and/or Indigenous knowledge","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Field experiences","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Gaining knowledge about geoscience careers","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Receiving support from family and peers","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Feeling a sense of belonging/ relating to geoscience culture","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Feeling connected to the Earth","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Seeing oneself represented in geoscience faculty and staff","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Microagressions (small instances of indirect, subtle, or unintentional discrimination)","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Macroagressions (large scale or overt discrimination)","If you would like to discuss any of your answers, you may do so below:",What was the main reason you chose your geoscience major?,"Did you ever consider leaving your geoscience major? If so, why?","Did you switch from a different major into your geoscience major? If so, what was your original major and why did you choose geoscience?",Are you planning on going into a career in the geosciences after you graduate? Please explain.,"Were there any important aspects of your experience as a geoscience major that were not listed above? If so, please describe them.",Which of the following most accurately describes you?You may choose more than one.,You may also state your gender identity in your own words below:,What is your ethnicity?,What is your racial background?,You may also state your racial/ethnic identity in your own words below:,"If there are any other aspects of your identity you would like to share, please add it below:",Would you like to enter the raffle for one of several $50 Amazon e-gift cards? Your responses will still remain anonymous.
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID2_5""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID27""}"
2022-05-04 18:12:24,2022-05-04 18:16:52,IP Address,100,268,True,2022-05-04 18:16:53,R_OO4NVm7ZvysAN0t,anonymous,EN,1,Yes,Yes,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,2 = Disagree,1 = Strongly Disagree,1 = Strongly Disagree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,1 = Had a positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,,,,,,,I prefer not to say,,,More than one race,,,Yes
2022-05-04 18:20:25,2022-05-04 18:26:45,IP Address,100,380,True,2022-05-04 18:26:46,R_1lynI14mYFkw4DS,anonymous,EN,0.8999999761581421,Yes,Yes,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,2 = Disagree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,4 = Agree,1 = Strongly Disagree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,2 = Disagree,1 = Strongly Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,"I took an introduction geology class and realized how much I loved earth science, and decided to go into geology per my professor’s suggestion","Yes. Because I couldn’t seem to do well in calculus because it did not feel applicable to my major. Gen-Ed math and physics are meant for engineers at my university, so none of the things I learned was fully relevant. ","I was a business major and switched quickly to geology after I realized how much I loved the subject ","I am very interested in geoscience education and would like to go straight to PhD in STEM Ed and continue geoscience ed research ",,Female,,Non-Hispanic or Latino,White,,,Yes
2022-05-05 08:57:43,2022-05-05 09:08:15,IP Address,100,631,True,2022-05-05 09:08:16,R_24rbRuGp7nsQBUb,anonymous,EN,1,Yes,Yes,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,,"My teacher in HS would made it Interesting to learn and I became fascinated with the topic. Once I got to college I decided to make it major. ","Sometimes yes, my university doesn’t have the best if the geoscience department and sometimes its hard to enroll because there isn’t professors to teach the subjects, so I feel that I’m losing out.  ","Originally I was computer science but after taking a few classes realized it wasn’t for me so I switched to my second chose. ","Yes, if everything goes to plan I want to work for a research company or many USGS if possible. ",,Male,,Hispanic or Latino,Other/I'll type it below,"Hispanic/Mexican ",,Yes
2022-05-05 10:14:57,2022-05-05 10:26:04,IP Address,100,666,True,2022-05-05 10:26:04,R_1FKhbOYBtM0RZyt,anonymous,EN,1,Yes,Yes,4 = Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,"I like the earth and being outdoors. ","Yes, to become an english major and to write books. Merely because of conflicting interests I have, nothing to do with the geoscience major itself. ","Switched from environmental studies into Geology major. I realized I liked rocks better. ","Yes, would like to go into hydrogeology. ",,Female,,Non-Hispanic or Latino,White,,,Yes
2022-05-05 10:21:01,2022-05-05 10:27:19,IP Address,100,378,True,2022-05-05 10:27:20,R_3s6Ygwu3QJvzZN4,anonymous,EN,0.8999999761581421,Yes,Yes,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,2 = Disagree,2 = Disagree,2 = Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,1 = Strongly Disagree,2 = Disagree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,1 = Had a positive impact,-2 = Had a strong negative impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,,I love rocks!,"No, from the beginning it was a perfect fit for me. ","Yes. I switched from a math major after having a particularly motivating professor ","Yes. I will be attending grad school for an MS in the geosciences starting in the fall. ",,Male,,Non-Hispanic or Latino,White,,,Yes
2022-05-05 10:30:27,2022-05-05 10:48:15,IP Address,100,1068,True,2022-05-05 10:48:15,R_qOrX60dUcv8Ty8x,anonymous,EN,1,Yes,Yes,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,3 = Neither Agree nor Disagree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,Passion,Never,"I was undeclared, I wanted this major. ","Yes, environmental law. ","My professors ability to connect with the student had a strong impact on my experience. ",Female,,Non-Hispanic or Latino,White,,"My family didn't support my dreams to be a geoscientist.  ",Yes
2022-05-05 11:13:46,2022-05-05 11:17:11,IP Address,100,205,True,2022-05-05 11:17:11,R_3PwdpPmp2c3ea4t,anonymous,EN,1,Yes,Yes,4 = Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,4 = Agree,1 = Strongly Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,-1 = Had a negative impact,N/A = Not applicable/ Did not experience this,,Interest in material,No,No,"Yes, graduate school then natural resource management",No,Male,,Non-Hispanic or Latino,White,,,Yes
2022-05-05 11:45:31,2022-05-05 11:48:09,IP Address,100,157,True,2022-05-05 11:48:09,R_3smNozDnFJ66fAg,anonymous,EN,0.8999999761581421,Yes,Yes,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,4 = Agree,2 = Disagree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I love rocks,"Yes, I was worried about careers.",No,"Yes, most likely academia",,Female,,Non-Hispanic or Latino,White,,,Yes
