Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I identify as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I am comfortable identifying myself as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My field of study helps me identify as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My faculty members recognize me as a geoscientist,Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My peers recognize me as a geoscientist,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My family and friends recognize me as a geoscientist,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - It is not important to me that others see me as a geoscientist,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - Seeing other people who look like me within my field reinforces my geoscience identity,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - Doing geoscience is not important to who I am,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My knowledge and skills will allow me to help others,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - My knowledge and skills will allow me to contribute to social issues that are important to me,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I do not enjoy conducting research,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I have to work harder than my peers to be recognized as a geoscientist due to my race or ethnicity,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I have to work harder than my peers to be recognized as a geoscientist due to my gender,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I am confident that I can understand geoscience in class,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I am confident that I can understand geoscience outside of class,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I can do well on exams and projects in geoscience,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I do not understand concepts I have studied in geoscience,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - Others ask me for help in geoscience,(Continued) Please rate how much you agree or disagree with the following statements. We use the term “geoscientist” to refer to someone who has an understanding of any field within the geosciences. - I cannot overcome setbacks in geoscience,"If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Faculty mentors and/or role models","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Learning how to use tools, equipment, and other material resources","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Research projects in class","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Research experience outside of regular classes","If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Place-based geoscience courses (learning in and about a particular place)","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Coursework incorporating cultural relevance and/or Indigenous knowledge","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Field experiences","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Gaining knowledge about geoscience careers","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Receiving support from family and peers","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Feeling a sense of belonging/ relating to geoscience culture","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Feeling connected to the Earth","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Seeing oneself represented in geoscience faculty and staff","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Microagressions (small instances of indirect, subtle, or unintentional discrimination)","(Continued) If any of the following have had an influence (positive or negative) on your identity as a geoscientist, please rate their impact. You may select “N/A” for any you did not experience. - Macroagressions (large scale or overt discrimination)","If you would like to discuss any of your answers, you may do so below:",What was the main reason you chose your geoscience major?,"Did you ever consider leaving your geoscience major? If so, why?","Did you switch from a different major into your geoscience major? If so, what was your original major and why did you choose geoscience?",Are you planning on going into a career in the geosciences after you graduate? Please explain.,"Were there any important aspects of your experience as a geoscience major that were not listed above? If so, please describe them.",Which of the following most accurately describes you?You may choose more than one.,You may also state your gender identity in your own words below:,What is your ethnicity?,What is your racial background?,You may also state your racial/ethnic identity in your own words below:,"If there are any other aspects of your identity you would like to share, please add it below:",Would you like to enter the raffle for one of several $50 Amazon e-gift cards? Your responses will still remain anonymous.
4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,2 = Disagree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,4 = Agree,1 = Strongly Disagree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,2 = Disagree,1 = Strongly Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,"I took an introduction geology class and realized how much I loved earth science, and decided to go into geology per my professor’s suggestion","Yes. Because I couldn’t seem to do well in calculus because it did not feel applicable to my major. Gen-Ed math and physics are meant for engineers at my university, so none of the things I learned was fully relevant. ",I was a business major and switched quickly to geology after I realized how much I loved the subject ,I am very interested in geoscience education and would like to go straight to PhD in STEM Ed and continue geoscience ed research ,,Female,,Non-Hispanic or Latino,White,,,Yes
4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,2 = Disagree,2 = Disagree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,,My teacher in HS would made it Interesting to learn and I became fascinated with the topic. Once I got to college I decided to make it major. ,"Sometimes yes, my university doesn’t have the best if the geoscience department and sometimes its hard to enroll because there isn’t professors to teach the subjects, so I feel that I’m losing out.  ",Originally I was computer science but after taking a few classes realized it wasn’t for me so I switched to my second chose. ,"Yes, if everything goes to plan I want to work for a research company or many USGS if possible. ",,Male,,Hispanic or Latino,Other/I'll type it below,Hispanic/Mexican ,,Yes
4 = Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I like the earth and being outdoors. ,"Yes, to become an english major and to write books. Merely because of conflicting interests I have, nothing to do with the geoscience major itself. ",Switched from environmental studies into Geology major. I realized I liked rocks better. ,"Yes, would like to go into hydrogeology. ",,Female,,Non-Hispanic or Latino,White,,,Yes
5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,2 = Disagree,2 = Disagree,2 = Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,1 = Strongly Disagree,2 = Disagree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,1 = Had a positive impact,#NAME?,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,,I love rocks!,"No, from the beginning it was a perfect fit for me. ",Yes. I switched from a math major after having a particularly motivating professor ,Yes. I will be attending grad school for an MS in the geosciences starting in the fall. ,,Male,,Non-Hispanic or Latino,White,,,Yes
4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,3 = Neither Agree nor Disagree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,5 = Strongly Agree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,Passion,Never,"I was undeclared, I wanted this major. ","Yes, environmental law. ",My professors ability to connect with the student had a strong impact on my experience. ,Female,,Non-Hispanic or Latino,White,,My family didn't support my dreams to be a geoscientist.  ,Yes
4 = Agree,4 = Agree,5 = Strongly Agree,4 = Agree,4 = Agree,4 = Agree,2 = Disagree,3 = Neither Agree nor Disagree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,4 = Agree,1 = Strongly Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,#NAME?,N/A = Not applicable/ Did not experience this,,Interest in material,No,No,"Yes, graduate school then natural resource management",No,Male,,Non-Hispanic or Latino,White,,,Yes
4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,4 = Agree,2 = Disagree,5 = Strongly Agree,5 = Strongly Agree,2 = Disagree,2 = Disagree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,2 = Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I love rocks,"Yes, I was worried about careers.",No,"Yes, most likely academia",,Female,,Non-Hispanic or Latino,White,,,Yes
3 = Neither Agree nor Disagree,2 = Disagree,4 = Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,5 = Strongly Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,1 = Strongly Disagree,1 = Strongly Disagree,4 = Agree,5 = Strongly Agree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,1 = Strongly Disagree,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,0 = Had neither a positive nor a negative impact,0 = Had neither a positive nor a negative impact,"When it comes to fully identifying as a geoscientist, I would do it in the case of post graduation and obtaining a job as a geoscientist. As of now I'm just studying it.  ",Love of Earth Sciences and the outdoors ,No ,No ,"Yes, the career opportunities interest me ",,Male,,Non-Hispanic or Latino,White,,,Yes
4 = Agree,4 = Agree,5 = Strongly Agree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,3 = Neither Agree nor Disagree,2 = Disagree,5 = Strongly Agree,3 = Neither Agree nor Disagree,1 = Strongly Disagree,1 = Strongly Disagree,1 = Strongly Disagree,5 = Strongly Agree,4 = Agree,5 = Strongly Agree,1 = Strongly Disagree,5 = Strongly Agree,1 = Strongly Disagree,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,N/A = Not applicable/ Did not experience this,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,0 = Had neither a positive nor a negative impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I like rocks and have always been interested in learning about the earth and its features.,I have briefly considered it due to coming close to burnout. But I have not seriously entertained the idea in a while.,N/A,"I want to, but I will have some time between undergrad and graduate school in the meantime.",N/A,Non-binary,,Non-Hispanic or Latino,White,,Aromantic and asexual,No
4 = Agree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,5 = Strongly Agree,3 = Neither Agree nor Disagree,4 = Agree,4 = Agree,4 = Agree,4 = Agree,3 = Neither Agree nor Disagree,2 = Disagree,3 = Neither Agree nor Disagree,4 = Agree,3 = Neither Agree nor Disagree,4 = Agree,2 = Disagree,4 = Agree,2 = Disagree,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,2 = Had a strong positive impact,2 = Had a strong positive impact,1 = Had a positive impact,1 = Had a positive impact,2 = Had a strong positive impact,1 = Had a positive impact,N/A = Not applicable/ Did not experience this,N/A = Not applicable/ Did not experience this,,I love science and I also love the environment so I wanted to learn about how and why the landscapes that we see are the way they are.,"Yes, whem taking my general education classes, I took a few classes that I greatly enjoyed and they made me consider switching majors.",No,"Yes, I am going to be attending the Colorado School of Mines to get my Masters in Petroleum Geology, which I want to make my career.",,Female,,Non-Hispanic or Latino,"American Indian or Alaska Native,White",,,Yes
